rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
86	C16H34O9	[M + H3N + H]+	C16H37NO9	0.9999999999999999	82.9992578064283	82.9992578064283	0.0	41	0.6388536002845675	-2.940163997940869	2.940163997940869	0.7515276308623301		388.25440	239.383	1012_1_Brassimet_Roots_Neg-POS_PAXs_6_p225
87	C24H44O8S	[M + H]+	C24H44O8S	0.9999999999999999	82.28654673387909	82.28654673387909	0.0	42	0.8855614973262033	-2.262413729045734	3.085381402024133	-0.3361562384865229		493.28280	865.972	509_1_Brassimet_Roots_Neg-POS_PAXs_18_p1757
88	C14H16N2O3	[M + H]+	C14H16N2O3	0.9999999999999999	81.26677064428858	81.26677064428858	0.0	39	0.8723218951402192	-1.2855610180480534	2.087666919261758	1.2682721234416972		261.12370	241.953	1016_1_Brassimet_Roots_Neg-POS_PAXs_6_p396
89	C17H16O6	[M + H]+	C17H16O6	0.9999999999999999	80.92742577859616	80.92742577859616	0.0	34	0.8280938676112461	-3.1388024530509577	3.4886884464876635	2.6342117115088435		317.10280	325.609	130_1_Brassimet_Roots_Neg-POS_PAXs_10_p1848
90	C20H18N2O2	[M + H]+	C20H18N2O2	0.9999999999999999	80.90182512528551	80.90182512528551	0.0	44	0.8746852643779226	-1.6545142453502888	1.7642689580431696	0.9266398203726899		319.14440	653.307	420_1_Brassimet_Roots_Neg-POS_PAXs_16_p627
91	C10H6O5	[M + H]+	C10H6O5	0.9999999999999999	80.8838023885082	80.8838023885082	0.0	19	0.8246203634553152	-3.2593081890510756	3.2593081890510756	0.0012361056510750664		207.02880	232.378	1002_1_Brassimet_Roots_Neg-POS_PAXs_6_p119
92	C17H15NO8	[M + H]+	C17H15NO8	0.9999999999999999	80.05197729735224	80.05197729735224	0.0	37	0.8839846252402307	-2.296293657417754	3.204494377571796	-0.1184579686791296		362.08700	329.831	145_1_Brassimet_Roots_Neg-POS_PAXs_10_p779
93	C13H17N3O3	[M + H]+	C13H17N3O3	0.9999999999999999	79.71334222870743	79.71334222870743	0.0	29	0.7184098438239471	-4.083773440729213	7.475961707357025	1.2574797450798958		264.13460	167.673	763_1_Brassimet_Roots_Neg-POS_PAXs_22_p1246
94	C8H14N2O2S	[M + H]+	C8H14N2O2S	0.9999999999999999	79.26973716378731	79.26973716378731	0.0	27	0.723894463024898	-4.0195465740335	4.951484232836409	-11.695444415551313		203.08250	64.963	1029_1_Brassimet_Roots_Neg-POS_PAXs_6_p2411
95	C15H21NO7	[M + H]+	C15H21NO7	0.9999999999999999	78.73766830225485	78.73766830225485	0.0	31	0.8177130580090719	-2.7171426065704996	2.8385050157516103	0.37037912416415275		328.13920	87.408	164_1_Brassimet_Roots_Neg-POS_PAXs_11_p550
96	C22H32N2O12	[M + H]+	C22H32N2O12	0.9999999999999999	78.19467488215366	78.19467488215366	0.0	44	0.8144050935137288	-0.3200389535929837	1.5611208238172058	-0.38846689969176446		517.20260	329.685	142_1_Brassimet_Roots_Neg-POS_PAXs_10_p2347
97	C10H9NO	[M + H]+	C10H9NO	0.9999999999999999	77.44002805011938	77.44002805011938	0.0	15	0.8710788350677547	-5.0684625390285065	5.0684625390285065	-0.5644838471613093		160.07560	414.162	290_1_Brassimet_Roots_Neg-POS_PAXs_13_p721
98	C9H15NO4	[M + H]+	C9H15NO4	0.9999999999999999	77.20507746665771	77.20507746665771	0.0	24	0.7330764997248211	-2.1441288177759548	5.759764557001651	0.5719130138580831		202.10750	111.35	575_1_Brassimet_Roots_Neg-POS_PAXs_19_p2541
99	C10H10N2OS	[M + H]+	C10H10N2OS	0.9999999999999999	76.31262225173064	76.31262225173064	0.0	21	0.5699797160243407	-6.224770958079407	10.960983854663372	4.537862091197766		207.05960	139.514	719_1_Brassimet_Roots_Neg-POS_PAXs_21_p2798
100	C10H8O2	[M + H]+	C10H8O2	0.9999999999999999	76.04129647065524	76.04129647065524	0.0	11	0.8454309786130912	-5.446540486614096	5.446540486614096	1.2048431016057581		161.05990	149.27	735_1_Brassimet_Roots_Neg-POS_PAXs_21_p1087
101	C19H23N3O9	[M + H]+	C19H23N3O9	0.9999999999999999	75.6287394340411	75.6287394340411	0.0	38	0.7856110254433305	-1.2986309048899813	1.4778314877453607	0.6715308409492093		438.15100	258.58	1061_1_Brassimet_Roots_Neg-POS_PAXs_7_p1268
102	C17H19NO7	[M + H]+	C17H19NO7	0.9999999999999999	74.21244510764697	74.21244510764697	0.0	40	0.9451444078309749	-3.991432995138048	4.1991796866836655	0.49011237600855845		350.12360	321.734	119_1_Brassimet_Roots_Neg-POS_PAXs_10_p759
103	C20H35NO11	[M + H]+	C20H35NO11	0.9999999999999999	73.2296415804973	73.2296415804973	0.0	31	0.9090909090909091	-2.0196867731804784	2.371411643899551	0.4560165442872727		466.22850	482.625	354_1_Brassimet_Roots_Neg-POS_PAXs_15_p1700
104	C20H19N3O2	[M + H]+	C20H19N3O2	0.9999999999999999	73.16840720976617	73.16840720976617	0.0	40	0.8557168784029041	-2.268542263384773	2.524015785165675	0.5886483567970592		334.15520	733.493	462_1_Brassimet_Roots_Neg-POS_PAXs_17_p1988
105	C11H12N2O3	[M + H]+	C11H12N2O3	0.9999999999999999	73.10298768187823	73.10298768187823	0.0	20	0.7110570236439502	-0.3788416771641132	4.76546106997533	-3.476826498905887		221.09130	198.333	823_1_Brassimet_Roots_Neg-POS_PAXs_23_p2247
106	C12H12N2O3	[M + H]+	C12H12N2O3	0.9999999999999999	72.75860580341043	72.75860580341043	0.0	27	0.8204834459846486	-5.316337742630901	5.316337742630901	-7.1590082239294555		233.09040	283.423	1110_1_Brassimet_Roots_Neg-POS_PAXs_8_p2619
107	C11H8N2O	[M + H]+	C11H8N2O	0.9999999999999999	72.65245242509874	72.65245242509874	0.0	30	0.7543899144529491	-3.423307832270438	4.405482089953391	-0.21250283289854305		185.07090	432.567	309_1_Brassimet_Roots_Neg-POS_PAXs_14_p666
108	C21H30O11S2	[M + H]+	C21H30O11S2	0.9999999999999999	72.26712925750795	72.26712925750795	0.0	34	0.8904981050351916	-4.4210715708612	4.443930753246033	0.7068367047024093		523.13060	293.815	1134_1_Brassimet_Roots_Neg-POS_PAXs_9_p1605
109	C10H9NO3	[M + H]+	C10H9NO3	0.9999999999999999	72.2392220619122	72.2392220619122	0.0	26	0.7111183039326748	-4.4836702528477765	5.482268007816412	-0.6227050291188122		192.06540	77.741	1175_1_Brassimet_Roots_Neg-POS_PAXs_9_p1388
